"bNumber"	"gene"	"function"
"b0069"	"sgrR"	"DNA-binding transcriptional regulator"
"b4577"	"sgrS"	"small antisense RNA"
"b0070"	"setA"	"broad specificity sugar efflux system"
"b0071"	"leuD"	"3-isopropylmalate isomerase subunit"
"b0072"	"leuC"	"3-isopropylmalate isomerase subunit, dehydratase component"
"b0073"	"leuB"	"3-isopropylmalate dehydrogenase"
"b0074"	"leuA"	"2-isopropylmalate synthase"
"b0075"	"leuL"	"leu operon leader peptide"
"b0076"	"leuO"	"DNA-binding transcriptional activator"
"b0077"	"ilvI"	"acetolactate synthase III, large subunit"
"b0078"	"ilvH"	"acetolactate synthase III, thiamin-dependent, small subunit"
"b0080"	"fruR"	"DNA-binding transcriptional dual regulator"
"b0081"	"mraZ"	"conserved protein"
"b0082"	"mraW"	"S-adenosyl-dependent methyltransferase activity on membrane-located substrates"
"b0083"	"ftsL"	"membrane bound cell division protein at septum containing leucine zipper motif"
"b0084"	"ftsI"	"transpeptidase involved in septal peptidoglycan synthesis (penicillin-binding protein 3)"
"b0085"	"murE"	"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso-diaminopimelate ligase"
"b0086"	"murF"	"UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D-alanine ligase"
"b0087"	"mraY"	"phospho-N-acetylmuramoyl-pentapeptide transferase"
"b0088"	"murD"	"UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase"
"b0089"	"ftsW"	"integral membrane protein involved in stabilising FstZ ring during cell division"
"b0090"	"murG"	"N-acetylglucosaminyl transferase"
"b0091"	"murC"	"UDP-N-acetylmuramate:L-alanine ligase"
"b0092"	"ddlB"	"D-Alanine:D-alanine ligase"
"b0093"	"ftsQ"	"membrane anchored protein involved in growth of wall at septum"
"b0094"	"ftsA"	"ATP-binding cell division protein involved in recruitment of FtsK to Z ring"
"b0095"	"ftsZ"	"GTP-binding tubulin-like cell division protein"
"b0096"	"lpxC"	"UDP-3-O-acyl N-acetylglucosamine deacetylase"
"b0097"	"secM"	"regulator of secA translation"
"b0098"	"secA"	"preprotein translocase subunit, ATPase that targets protein precursors to the SecYE core translocon"
"b0099"	"mutT"	"nucleoside triphosphate pyrophosphohydrolase, marked preference for dGTP"
"b0101"	"yacG"	"conserved protein"
"b0102"	"yacF"	"conserved protein"
"b0103"	"coaE"	"dephospho-CoA kinase"
"b0104"	"guaC"	"GMP reductase"
"b0106"	"hofC"	"assembly protein in type IV pilin biogenesis, transmembrane protein"
"b0107"	"hofB"	"conserved protein with nucleoside triphosphate hydrolase domain"
"b0108"	"ppdD"	"predicted major pilin subunit"
"b0109"	"nadC"	"quinolinate phosphoribosyltransferase"
"b0110"	"ampD"	"N-acetyl-anhydromuranmyl-L-alanine amidase"
"b0111"	"ampE"	"predicted inner membrane protein"
"b0112"	"aroP"	"aromatic amino acid transporter"
"b0113"	"pdhR"	"DNA-binding transcriptional dual regulator"
"b0114"	"aceE"	"pyruvate dehydrogenase, decarboxylase component E1, thiamin-binding"
"b0115"	"aceF"	"pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2"
"b0116"	"lpd"	"lipoamide dehydrogenase, E3 component is part of three enzyme complexes"
"b0117"	"yacH"	"predicted protein"
"b0118"	"acnB"	"bifunctional aconitate hydratase 2 -!- 2-methylisocitrate dehydratase"
"b0119"	"yacL"	"conserved protein"
"b0120"	"speD"	"S-adenosylmethionine decarboxylase"
"b0121"	"speE"	"spermidine synthase (putrescine aminopropyltransferase)"
"b0122"	"yacC"	"predicted protein"
"b0123"	"cueO"	"multicopper oxidase (laccase)"
"b0124"	"gcd"	"glucose dehydrogenase"
"b0125"	"hpt"	"hypoxanthine phosphoribosyltransferase"
"b0126"	"can"	"carbonic anhydrase"
"b0127"	"yadG"	"predicted transporter subunit -!- ATP-binding component of ABC superfamily"
"b0128"	"yadH"	"predicted transporter subunit -!- membrane component of ABC superfamily"
"b0129"	"yadI"	"predicted PTS Enzyme IIA"
"b0130"	"yadE"	"predicted polysaccharide deacetylase lipoprotein"
"b0131"	"panD"	"aspartate 1-decarboxylase"
"b0132"	"yadD"	"predicted transposase"
"b0133"	"panC"	"pantothenate synthetase"
"b0134"	"panB"	"3-methyl-2-oxobutanoate hydroxymethyltransferase"
"b0135"	"yadC"	"predicted fimbrial-like adhesin protein"
"b0136"	"yadK"	"predicted fimbrial-like adhesin protein"
"b0137"	"yadL"	"predicted fimbrial-like adhesin protein"
"b0138"	"yadM"	"predicted fimbrial-like adhesin protein"
"b0139"	"htrE"	"predicted outer membrane usher protein"
"b0140"	"ecpD"	"predicted periplasmic pilin chaperone"
"b0141"	"yadN"	"predicted fimbrial-like adhesin protein"
"b0142"	"folK"	"2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase"
"b0143"	"pcnB"	"poly(A) polymerase I"
"b0144"	"yadB"	"glutamyl-Q tRNA(Asp) synthetase"
"b0145"	"dksA"	"transcriptional regulator of rRNA transcription, DnaK suppressor protein"
"b0146"	"sfsA"	"predicted DNA-binding transcriptional regulator"
"b0147"	"ligT"	"2'-5' RNA ligase"
"b0148"	"hrpB"	"predicted ATP-dependent helicase"
"b0149"	"mrcB"	"fused glycosyl transferase -!- transpeptidase"
"b0150"	"fhuA"	"ferrichrome outer membrane transporter"
"b0151"	"fhuC"	"iron-hydroxamate transporter subunit -!- ATP-binding component of ABC superfamily"
"b0152"	"fhuD"	"iron-hydroxamate transporter subunit -!- periplasmic-binding component of ABC superfamily"
"b0153"	"fhuB"	"fused subunits of iron-hydroxamate transporter -!- membrane components of ABC superfamily transporter"
"b0154"	"hemL"	"glutamate-1-semialdehyde aminotransferase (aminomutase)"
"b0155"	"clcA"	"chloride channel, voltage-gated"
"b0156"	"erpA"	"Fe-S protein, possible role in Fe-S cluster assembly"
"b0157"	"yadS"	"conserved inner membrane protein"
"b0158"	"btuF"	"vitamin B12 transporter subunit -!- periplasmic-binding component of ABC superfamily"
"b0159"	"pfs"	"5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase"
"b0160"	"dgt"	"deoxyguanosine triphosphate triphosphohydrolase"
"b0161"	"degP"	"serine endoprotease (protease Do), membrane-associated"
"b0162"	"cdaR"	"DNA-binding transcriptional regulator"
"b0163"	"yaeH"	"conserved protein"
"b0164"	"yaeI"	"predicted phosphatase"
"b0166"	"dapD"	"2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase"
"b0167"	"glnD"	"uridylyltransferase"
"b0168"	"map"	"methionine aminopeptidase"
"b4414"	"t44"	"small RNA"
"b0169"	"rpsB"	"30S ribosomal subunit protein S2"
"b0170"	"tsf"	"protein chain elongation factor EF-Ts"
"b0171"	"pyrH"	"uridylate kinase"
"b0172"	"frr"	"ribosome recycling factor"
"b0173"	"dxr"	"1-deoxy-D-xylulose 5-phosphate reductoisomerase"
"b0174"	"ispU"	"undecaprenyl pyrophosphate synthase"
"b0175"	"cdsA"	"CDP-diglyceride synthase"
"b0176"	"yaeL"	"zinc metallopeptidase"
"b0177"	"yaeT"	"outer membrane protein assembly factor"
"b0178"	"hlpA"	"periplasmic chaperone"
"b0179"	"lpxD"	"UDP-3-O-(3-hydroxymyristoyl)-glucosamine N-acyltransferase"
"b0180"	"fabZ"	"(3R)-hydroxymyristol acyl carrier protein dehydratase"
"b0181"	"lpxA"	"UDP-N-acetylglucosamine acetyltransferase"
"b0182"	"lpxB"	"tetraacyldisaccharide-1-P synthase"
"b0183"	"rnhB"	"ribonuclease HII, degrades RNA of DNA-RNA hybrids"
"b0184"	"dnaE"	"DNA polymerase III alpha subunit"
"b0185"	"accA"	"acetylCoA carboxylase, carboxytransferase, alpha subunit"
"b0186"	"ldcC"	"lysine decarboxylase 2, constitutive"
"b0187"	"yaeR"	"predicted lyase"
"b0188"	"tilS"	"tRNA(Ile)-lysidine synthetase"
"b0189"	"rof"	"modulator of Rho-dependent transcription termination"
"b4406"	"yaeP"	"conserved protein"
"b0190"	"yaeQ"	"conserved protein"
"b0191"	"yaeJ"	"conserved protein"
"b0192"	"nlpE"	"lipoprotein involved with copper homeostasis and adhesion"
"b0193"	"yaeF"	"predicted lipoprotein"
"b0194"	"proS"	"prolyl-tRNA synthetase"
"b0195"	"yaeB"	"conserved protein"
"b0196"	"rcsF"	"outer membrane lipoprotein, signal"
"b0197"	"metQ"	"DL-methionine transporter subunit -!- periplasmic-binding component of ABC superfamily"
"b0198"	"metI"	"DL-methionine transporter subunit -!- membrane component protein of ABC superfamily"
"b0199"	"metN"	"DL-methionine transporter subunit -!- ATP-binding component of ABC superfamily"
"b0200"	"gmhB"	"D,D-heptose 1,7-bisphosphate phosphatase"
"b0201"	"rrsH"	"16S rRNA (rrsH)"
"b0202"	"ileV"	"tRNA-Ile(GAU) (Isoleucine tRNA1)"
"b0203"	"alaV"	"tRNA-Ala(UGC) (Alanine tRNA 1B)"
"b0204"	"rrlH"	"23S rRNA (rrlH)"
"b0205"	"rrfH"	"5S rRNA (rrfH)"
"b0206"	"aspU"	"tRNA-Asp(GUC) (Aspartate tRNA1)"
"b0207"	"dkgB"	"2,5-diketo-D-gluconate reductase B, NADP-binding"
"b0208"	"yafC"	"predicted DNA-binding transcriptional regulator"
"b0209"	"yafD"	"conserved protein"
"b0210"	"yafE"	"predicted S-adenosyl-L-methionine-dependent methyltransferase"
"b0211"	"mltD"	"predicted membrane-bound lytic murein transglycosylase D"
"b0212"	"gloB"	"predicted hydroxyacylglutathione hydrolase"
"b0213"	"yafS"	"predicted S-adenosyl-L-methionine-dependent methyltransferase"
"b0214"	"rnhA"	"ribonuclease HI, degrades RNA of DNA-RNA hybrids"
"b0215"	"dnaQ"	"DNA polymerase III epsilon subunit"
"b0216"	"aspV"	"tRNA-Asp(GUC) (Aspartate tRNA1)"
"b0217"	"yafT"	"predicted aminopeptidase"
"b0218"	"yafU"	"predicted inner membrane protein"
"b4503"	"yafF"	"conserved protein"
"b0219"	"yafV"	"predicted C-N hydrolase family amidase, NAD(P)-binding"
"b0220"	"ivy"	"inhibitor of vertebrate C-lysozyme"
"b0221"	"fadE"	"acyl coenzyme A dehydrogenase"
"b0222"	"lpcA"	"D-sedoheptulose 7-phosphate isomerase"
"b0223"	"yafJ"	"predicted amidotransfease"
"b0224"	"yafK"	"conserved protein"
"b0225"	"yafQ"	"toxin of the YafQ-DinJ toxin-antitoxin system"
"b0226"	"dinJ"	"antitoxin of YafQ-DinJ toxin-antitoxin system"
"b0227"	"yafL"	"predicted lipoprotein and C40 family peptidase"
"b0228"	"yafM"	"conserved protein"
"b0229"	"fhiA"	"flagellar system protein, promoterless fragment (pseudogene)"
"b0230"	"mbhA"	"flagellar system protein, promoterless fragment (pseudogene)"
"b0231"	"dinB"	"DNA polymerase IV"
"b0232"	"yafN"	"predicted antitoxin of the YafO-YafN toxin-antitoxin system"
"b0233"	"yafO"	"predicted toxin of the YafO-YafN toxin-antitoxin system"
"b0234"	"yafP"	"predicted acyltransferase with acyl-CoA N-acyltransferase domain"
"b0235"	"ykfJ"	"conserved protein"
"b0236"	"prfH"	"predicted peptide chain release factor"
"b0237"	"pepD"	"aminoacyl-histidine dipeptidase (peptidase D)"
"b0238"	"gpt"	"guanine-hypoxanthine phosphoribosyltransferase"
"b0239"	"frsA"	"hydrolase, binds to enzyme IIA(Glc)"
"b0240"	"crl"	"DNA-binding transcriptional regulator"
"b0241"	"phoE"	"outer membrane phosphoporin protein E"
"b0242"	"proB"	"gamma-glutamate kinase"
"b0243"	"proA"	"gamma-glutamylphosphate reductase"
"b0244"	"thrW"	"tRNA-Thr(CGU) (Threonine tRNA2)"
"b0245"	"ykfI"	"CP4-6 prophage; toxin of the YkfI-YafW toxin-antitoxin system"
"b0246"	"yafW"	"CP4-6 prophage; antitoxin of the YkfI-YafW toxin-antitoxin system"
"b4504"	"ykfH"	"predicted protein"
"b0247"	"ykfG"	"CP4-6 prophage; predicted DNA repair protein"
"b0248"	"yafX"	"CP4-6 prophage; predicted protein"
"b0249"	"ykfF"	"CP4-6 prophage; predicted protein"
"b0250"	"ykfB"	"CP4-6 prophage; predicted protein"
"b0251"	"yafY"	"CP4-6 prophage; predicted DNA-binding transcriptional regulator"
"b0252"	"yafZ"	"CP4-6 prophage; conserved protein"
"b0253"	"ykfA"	"CP4-6 prophage; predicted GTP-binding protein"
"b0254"	"perR"	"CP4-6 prophage; predicted DNA-binding transcriptional regulator"
"b0255"	"insN-1"	"CP4-6 prophage; partial regulator of insertion element IS911A"
"b4283"	"insN-2"	"KpLE2 phage-like element; partial regulator of insertion element IS911B. Interrupted by insertion of IS30 element."
"b0256"	"insI-1"	"CP4-6 prophage; IS30 transposase"
"b1404"	"insI-2"	"IS30 transposase"
"b4284"	"insI-3"	"KpLE2 phage-like element; IS30 transposase"
"b0257"	"insO-1"	"CP4-6 prophage; partial transposase of insertion element IS911A, interrupted by insertion of IS30 element."
"b0258"	"ykfC"	"CP4-6 prophage; conserved protein"
"b0259"	"insH-1"	"CP4-6 prophage; IS5 transposase and trans-activator"
"b0552"	"insH-2"	"DLP12 prophage; IS5 transposase and trans-activator"
"b0656"	"insH-3"	"IS5 transposase and trans-activator"
"b1331"	"insH-4"	"IS5 transposase and trans-activator"
"b1370"	"insH-5"	"Rac prophage; IS5 transposase and trans-activator"
"b1994"	"insH-6"	"CP4-44 prophage; IS5 transposase and trans-activator"
"b2030"	"insH-7"	"IS5 transposase and trans-activator"
"b2192"	"insH-8"	"IS5 transposase and trans-activator"
"b2982"	"insH-9"	"IS5 transposase and trans-activator"
"b3218"	"insH-10"	"IS5 transposase and trans-activator"
"b3505"	"insH-11"	"IS5 transposase and trans-activator"
"b0260"	"mmuP"	"CP4-6 prophage; predicted S-methylmethionine transporter"
"b0261"	"mmuM"	"CP4-6 prophage; S-methylmethionine:homocysteine methyltransferase"
"b0262"	"afuC"	"CP4-6 prophage; predicted ferric transporter subunit -!- ATP-binding component of ABC superfamily"
"b0263"	"afuB"	"CP4-6 prophage; predicted ferric trasnporter subunit -!- membrane component of ABC superfamily"
"b4505"	"ykgN"	"predicted IS protein"
"b0266"	"yagB"	"CP4-6 prophage; conserved protein"
"b0267"	"yagA"	"CP4-6 prophage; predicted DNA-binding transcriptional regulator"
"b0268"	"yagE"	"CP4-6 prophage; predicted lyase/synthase"
"b0269"	"yagF"	"CP4-6 prophage; predicted dehydratase"
"b0270"	"yagG"	"CP4-6 prophage; predicted sugar transporter"
"b0271"	"yagH"	"CP4-6 prophage; predicted xylosidase/arabinosidase"
"b0272"	"yagI"	"CP4-6 prophage; predicted DNA-binding transcriptional regulator"
"b0273"	"argF"	"CP4-6 prophage; ornithine carbamoyltransferase 2, chain F"
"b0276"	"yagJ"	"CP4-6 prophage; predicted protein"
"b0277"	"yagK"	"CP4-6 prophage; conserved protein"
"b0278"	"yagL"	"CP4-6 prophage; DNA-binding protein"
"b0279"	"yagM"	"CP4-6 prophage; predicted protein"
"b0280"	"yagN"	"CP4-6 prophage; predicted protein"
"b0281"	"intF"	"CP4-6 prophage; predicted phage integrase"
"b0282"	"yagP"	"predicted transcriptional regulator"
"b0283"	"yagQ"	"conserved protein"
"b0284"	"yagR"	"predicted oxidoreductase with molybdenum-binding domain"
"b0285"	"yagS"	"predicted xanthine dehydrogenase, FAD-binding subunit"
"b0286"	"yagT"	"predicted xanthine dehydrogenase, 2Fe-2S subunit"
"b0287"	"yagU"	"conserved inner membrane protein required for acid resistance"
"b0288"	"ykgJ"	"predicted ferredoxin"
"b0289"	"yagV"	"conserved protein"
"b0290"	"yagW"	"predicted receptor"
"b0291"	"yagX"	"predicted aromatic compound dioxygenase"
"b0292"	"yagY"	"predicted protein"
"b0293"	"yagZ"	"conserved protein"
"b0294"	"ykgK"	"predicted regulator"
"b0295"	"ykgL"	"predicted protein"
"b4506"	"ykgO"	"predicted ribosomal protein"
"b0296"	"ykgM"	"predicted ribosomal protein"
"b0297"	"eaeH"	"attaching and effacing protein, pathogenesis factor"
"b0298"	"insE-1"	"IS3 element protein"
"b0373"	"insE-2"	"IS3 element protein"
"b0540"	"insE-3"	"DLP12 prophage; IS3 element protein InsE"
"b1027"	"insE-4"	"IS3 element protein"
"b2088"	"insE-5"	"IS3 element protein InsE"
"b0299"	"insF-1"	"IS3 element protein InsF"
"b0372"	"insF-2"	"IS3 element protein InsF"
"b0541"	"insF-3"	"DLP12 prophage; IS3 element protein InsF"
"b1026"	"insF-4"	"IS3 element protein InsF"
"b2089"	"insF-5"	"IS3 element protein InsF"
"b0300"	"ykgA"	"predicted DNA-binding transcriptional regulator"
"b0301"	"ykgB"	"conserved inner membrane protein"
"b0303"	"ykgI"	"predicted protein"
"b0304"	"ykgC"	"predicted oxidoreductase with FAD/NAD(P)-binding domain and dimerization domain"
"b0305"	"ykgD"	"predicted DNA-binding transcriptional regulator"
"b0306"	"ykgE"	"predicted oxidoreductase subunit"
"b0307"	"ykgF"	"predicted amino acid dehydrogenase with NAD(P)-binding domain and ferridoxin-like domain"
"b0308"	"ykgG"	"predicted transporter"
"b0310"	"ykgH"	"predicted inner membrane protein"
"b0311"	"betA"	"choline dehydrogenase, a flavoprotein"
"b0312"	"betB"	"betaine aldehyde dehydrogenase, NAD-dependent"
"b0313"	"betI"	"DNA-binding transcriptional repressor"
"b0314"	"betT"	"choline transporter of high affinity"
"b0315"	"yahA"	"bifunctional DNA-binding transcriptional regulator -!- cyclic diguanylate phosphodiesterase"
"b0316"	"yahB"	"predicted DNA-bindng transcriptional regulator"
"b0317"	"yahC"	"predicted inner membrane protein"
"b0318"	"yahD"	"predicted transcriptional regulator with ankyrin domain"
"b0319"	"yahE"	"predicted protein"
"b0320"	"yahF"	"predicted acyl-CoA synthetase with NAD(P)-binding domain and succinyl-CoA synthetase domain"
"b0321"	"yahG"	"conserved protein"
"b0322"	"yahH"	"predicted protein"
"b0323"	"yahI"	"predicted carbamate kinase-like protein"
"b0324"	"yahJ"	"predicted deaminase with metallo-dependent hydrolase domain"
"b0325"	"yahK"	"predicted oxidoreductase, Zn-dependent and NAD(P)-binding"
"b0326"	"yahL"	"predicted protein"
"b0327"	"yahM"	"predicted protein"
"b0328"	"yahN"	"neutral amino-acid efflux system"
"b0329"	"yahO"	"predicted protein"
"b0330"	"prpR"	"DNA-binding transcriptional regulator"
"b0331"	"prpB"	"2-methylisocitrate lyase"
"b0333"	"prpC"	"2-methylcitrate synthase"
"b0334"	"prpD"	"2-methylcitrate dehydratase"
"b0335"	"prpE"	"predicted propionyl-CoA synthetase with ATPase domain"
"b0336"	"codB"	"cytosine transporter"
"b0337"	"codA"	"cytosine deaminase"
"b0338"	"cynR"	"DNA-binding transcriptional dual regulator"
"b0339"	"cynT"	"carbonic anhydrase"
"b0340"	"cynS"	"cyanate aminohydrolase"
"b0341"	"cynX"	"predicted cyanate transporter"
"b0342"	"lacA"	"thiogalactoside acetyltransferase"
"b0343"	"lacY"	"lactose/galactose transporter"
"b0344"	"lacZ"	"beta-D-galactosidase"
"b0345"	"lacI"	"DNA-binding transcriptional repressor"
"b0346"	"mhpR"	"DNA-binding transcriptional activator, 3HPP-binding"
"b0347"	"mhpA"	"3-(3-hydroxyphenyl)propionate hydroxylase"
"b0348"	"mhpB"	"2,3-dihydroxyphenylpropionate 1,2-dioxygenase"
"b0349"	"mhpC"	"2-hydroxy-6-ketonona-2,4-dienedioic acid hydrolase"
"b0350"	"mhpD"	"2-keto-4-pentenoate hydratase"
"b0351"	"mhpF"	"acetaldehyde-CoA dehydrogenase II, NAD-binding"
"b0352"	"mhpE"	"4-hyroxy-2-oxovalerate/4-hydroxy-2-oxopentanoic acid aldolase, class I"
"b0353"	"mhpT"	"predicted 3-hydroxyphenylpropionic transporter"
"b0354"	"yaiL"	"nucleoprotein/polynucleotide-associated enzyme"
"b0355"	"frmB"	"S-formylglutathione hydrolase"
"b0356"	"frmA"	"S-(hydroxymethyl)glutathione dehydrogenase, Zn enzyme"
"b0357"	"frmR"	"regulator protein that represses frmRAB operon"
"b0358"	"yaiO"	"predicted protein"
"b0359"	"yaiX"	"predicted acyl transferase (pseudogene)"
"b0360"	"insC-1"	"IS2 insertion element repressor InsA"
"b1403"	"insC-2"	"IS2 insertion element repressor InsA"
"b1997"	"insC-3"	"CP4-44 prophage; IS2 insertion element repressor InsA"
"b2861"	"insC-4"	"IS2 insertion element repressor InsA"
"b3044"	"insC-5"	"IS2 insertion element repressor InsA"
"b4272"	"insC-6"	"KpLE2 phage-like element; IS2 insertion element repressor InsA"
"b0361"	"insD-1"	"IS2 insertion element transposase InsAB'"
"b1402"	"insD-2"	"IS2 insertion element transposase InsAB'"
"b1996"	"insD-3"	"CP4-44 prophage; IS2 insertion element transposase InsAB'"
"b2860"	"insD-4"	"IS2 insertion element transposase InsAB'"
"b3045"	"insD-5"	"IS2 insertion element transposase InsAB'"
"b4273"	"insD-6"	"KpLE2 phage-like element; IS2 insertion element transposase InsAB'"
"b0362"	"yaiF"	"predicted protein"
"b0363"	"yaiP"	"predicted glucosyltransferase"
"b0364"	"yaiS"	"conserved protein"
"b0365"	"tauA"	"taurine transporter subunit -!- periplasmic-binding component of ABC superfamily"
"b0366"	"tauB"	"taurine transporter subunit -!- ATP-binding component of ABC superfamily"
"b0367"	"tauC"	"taurine transporter subunit -!- membrane component of ABC superfamily"
"b0368"	"tauD"	"taurine dioxygenase, 2-oxoglutarate-dependent"
"b0369"	"hemB"	"porphobilinogen synthase"
"b0370"	"ykiB"	"predicted protein"
"b0371"	"yaiT"	"predicted protein"
"b0374"	"yaiU"	"predicted protein"
"b0375"	"yaiV"	"predicted DNA-binding transcriptional regulator"
"b0376"	"ampH"	"beta-lactamase/D-alanine carboxypeptidase"
"b0377"	"sbmA"	"predicted transporter"
"b0378"	"yaiW"	"predicted DNA-binding transcriptional regulator"
"b0379"	"yaiY"	"predicted inner membrane protein"
"b0380"	"yaiZ"	"predicted inner membrane protein"
"b0381"	"ddlA"	"D-alanine-D-alanine ligase A"
"b0382"	"iraP"	"regulator of sigma(S) stability"
"b0383"	"phoA"	"alkaline phosphatase"
"b0384"	"psiF"	"conserved protein"
"b0385"	"yaiC"	"predicted diguanylate cyclase"
"b0386"	"proC"	"pyrroline-5-carboxylate reductase, NAD(P)-binding"
